period,period_date,per_year,per_month,per_quarter,transaction_rows,total_revenue,total_cost,gross_profit,gross_margin_pct,revenue_yoy_pct,gross_profit_yoy_pct,margin_change_pp
1801,2018-01-01,2018,1,Q1,28162,5455376.71,4433066.22,1022310.49,18.7395,,,
1802,2018-02-01,2018,2,Q1,25929,4791263.47,3835039.55,956223.92,19.9577,,,
1803,2018-03-01,2018,3,Q1,36357,7143402.9,5758170.08,1385232.82,19.3918,,,
1804,2018-04-01,2018,4,Q2,28984,5269820.84,4279671.02,990149.82,18.7891,,,
1805,2018-05-01,2018,5,Q2,35626,6756706.15,5477000.54,1279705.61,18.9398,,,
1806,2018-06-01,2018,6,Q2,35605,6640024.76,5402470.48,1237554.28,18.6378,,,
1807,2018-07-01,2018,7,Q3,29490,5636853.67,4581172.52,1055681.14,18.7282,,,
1808,2018-08-01,2018,8,Q3,36501,7003190.86,5645932.02,1357258.84,19.3806,,,
1809,2018-09-01,2018,9,Q3,31846,6181913.52,4999887.35,1182026.17,19.1207,,,
1810,2018-10-01,2018,10,Q4,35758,6896276.0,5604888.23,1291387.77,18.7259,,,
1811,2018-11-01,2018,11,Q4,41104,8300761.45,6647837.45,1652924.0,19.9129,,,
1812,2018-12-01,2018,12,Q4,41491,9303442.11,7510061.06,1793381.04,19.2765,,,
1901,2019-01-01,2019,1,Q1,29715,5453138.98,4368087.52,1085051.46,19.8977,-0.04,6.14,1.16
1902,2019-02-01,2019,2,Q1,28771,5128587.45,4080516.86,1048070.59,20.4359,7.04,9.61,0.48
1903,2019-03-01,2019,3,Q1,33529,6174681.84,4898883.83,1275798.01,20.6618,-13.56,-7.9,1.27
1904,2019-04-01,2019,4,Q2,36404,6814627.92,5387649.86,1426978.06,20.9399,29.31,44.12,2.15
1905,2019-05-01,2019,5,Q2,37847,6931562.99,5493241.25,1438321.75,20.7503,2.59,12.39,1.81
1906,2019-06-01,2019,6,Q2,36385,6640042.19,5245094.18,1394948.01,21.0081,0.0,12.72,2.37
1907,2019-07-01,2019,7,Q3,31608,5748960.32,4624644.97,1124315.35,19.5568,1.99,6.5,0.83
1908,2019-08-01,2019,8,Q3,36813,6590333.31,5290712.1,1299621.21,19.7201,-5.9,-4.25,0.34
1909,2019-09-01,2019,9,Q3,36328,6778218.71,5428043.3,1350175.41,19.9193,9.65,14.23,0.8
1910,2019-10-01,2019,10,Q4,42483,8824229.91,7076435.5,1747794.41,19.8068,27.96,35.34,1.08
1911,2019-11-01,2019,11,Q4,40314,8010384.38,6316133.96,1694250.42,21.1507,-3.5,2.5,1.24
1912,2019-12-01,2019,12,Q4,45570,9848325.53,7758104.17,2090221.36,21.2241,5.86,16.55,1.95
2001,2020-01-01,2020,1,Q1,35125,6158737.84,4871142.61,1287595.23,20.9068,12.94,18.67,1.01
2002,2020-02-01,2020,2,Q1,30686,5490124.0,4314280.77,1175843.23,21.4174,7.05,12.19,0.98
2003,2020-03-01,2020,3,Q1,42787,7660834.64,6083071.53,1577763.11,20.5952,24.07,23.67,-0.07
2004,2020-04-01,2020,4,Q2,35265,5847013.86,4580223.08,1266790.78,21.6656,-14.2,-11.23,0.73
2005,2020-05-01,2020,5,Q2,38977,6699282.45,5260800.67,1438481.77,21.4722,-3.35,0.01,0.72
2006,2020-06-01,2020,6,Q2,42990,7780474.12,6118876.34,1661597.78,21.356,17.18,19.12,0.35
2007,2020-07-01,2020,7,Q3,41836,7287152.12,5732182.31,1554969.81,21.3385,26.76,38.3,1.78
2008,2020-08-01,2020,8,Q3,38633,6477972.49,5004839.19,1473133.3,22.7407,-1.7,13.35,3.02
2009,2020-09-01,2020,9,Q3,44008,7564807.05,5902113.15,1662693.9,21.9793,11.6,23.15,2.06
2010,2020-10-01,2020,10,Q4,47340,8732560.65,6906161.77,1826398.88,20.9148,-1.04,4.5,1.11
2011,2020-11-01,2020,11,Q4,42909,8219328.65,6461602.87,1757725.79,21.3853,2.61,3.75,0.23
2012,2020-12-01,2020,12,Q4,53530,10362657.43,8123179.25,2239478.18,21.611,5.22,7.14,0.39
2101,2021-01-01,2021,1,Q1,36836,6262037.59,4963797.41,1298240.18,20.7319,1.68,0.83,-0.17
2102,2021-02-01,2021,2,Q1,36105,6354324.52,4995621.53,1358703.0,21.3823,15.74,15.55,-0.04
2103,2021-03-01,2021,3,Q1,48896,8833751.4,6955946.38,1877805.02,21.2572,15.31,19.02,0.66
2104,2021-04-01,2021,4,Q2,43643,7495240.34,5860711.4,1634528.94,21.8076,28.19,29.03,0.14
2105,2021-05-01,2021,5,Q2,41807,7398170.62,5779364.94,1618805.68,21.8812,10.43,12.54,0.41
2106,2021-06-01,2021,6,Q2,45906,8174403.58,6399810.78,1774592.79,21.7091,5.06,6.8,0.35
2107,2021-07-01,2021,7,Q3,44861,8435079.8,6642107.28,1792972.52,21.2561,15.75,15.31,-0.08
2108,2021-08-01,2021,8,Q3,41704,7799585.41,6161043.72,1638541.68,21.0081,20.4,11.23,-1.73
2109,2021-09-01,2021,9,Q3,48206,9428069.88,7418345.48,2009724.4,21.3164,24.63,20.87,-0.66
2110,2021-10-01,2021,10,Q4,47531,9697298.63,7659866.36,2037432.27,21.0103,11.05,11.55,0.1
2111,2021-11-01,2021,11,Q4,49961,11136099.86,8726368.01,2409731.85,21.6389,35.49,37.09,0.25
2112,2021-12-01,2021,12,Q4,56028,11966477.45,9391904.37,2574573.08,21.5149,15.48,14.96,-0.1
2201,2022-01-01,2022,1,Q1,39824,7000716.94,5496932.75,1503784.19,21.4804,11.8,15.83,0.75
2202,2022-02-01,2022,2,Q1,42120,7541509.08,5976355.49,1565153.59,20.7539,18.68,15.19,-0.63
2203,2022-03-01,2022,3,Q1,49312,9348260.55,7382243.93,1966016.62,21.0308,5.82,4.7,-0.23
2204,2022-04-01,2022,4,Q2,42797,8605249.95,6747988.08,1857261.87,21.5829,14.81,13.63,-0.22
2205,2022-05-01,2022,5,Q2,43707,8160545.69,6397894.59,1762651.11,21.5997,10.3,8.89,-0.28
2206,2022-06-01,2022,6,Q2,48751,9730061.7,7775899.57,1954162.13,20.0838,19.03,10.12,-1.63
2207,2022-07-01,2022,7,Q3,44711,8990634.57,7118659.22,1871975.35,20.8214,6.59,4.41,-0.43
2208,2022-08-01,2022,8,Q3,48594,10088487.18,8007950.67,2080536.5,20.6229,29.35,26.97,-0.39
2209,2022-09-01,2022,9,Q3,49830,10495748.56,8197596.57,2298151.98,21.896,11.32,14.35,0.58
2210,2022-10-01,2022,10,Q4,49252,10657007.23,8176247.93,2480759.3,23.2782,9.9,21.76,2.27
2211,2022-11-01,2022,11,Q4,53799,12065551.76,9376102.75,2689449.01,22.2903,8.35,11.61,0.65
2212,2022-12-01,2022,12,Q4,62760,13672165.17,10619610.46,3052554.7,22.3268,14.25,18.57,0.81
2301,2023-01-01,2023,1,Q1,42502,7875040.32,6159702.94,1715337.37,21.782,12.49,14.07,0.3
2302,2023-02-01,2023,2,Q1,42079,8181419.82,6380054.92,1801364.91,22.0178,8.49,15.09,1.26
2303,2023-03-01,2023,3,Q1,53912,10750472.0,8402797.37,2347674.63,21.8379,15.0,19.41,0.81
2304,2023-04-01,2023,4,Q2,44923,8806710.52,6882004.47,1924706.05,21.855,2.34,3.63,0.27
2305,2023-05-01,2023,5,Q2,51631,9821617.98,7691900.29,2129717.69,21.684,20.35,20.82,0.08
2306,2023-06-01,2023,6,Q2,52564,10451905.54,8206274.83,2245630.7,21.4854,7.42,14.92,1.4
2307,2023-07-01,2023,7,Q3,43095,8521181.49,6641726.03,1879455.46,22.0563,-5.22,0.4,1.23
2308,2023-08-01,2023,8,Q3,52371,10177824.53,7983743.44,2194081.09,21.5575,0.89,5.46,0.93
2309,2023-09-01,2023,9,Q3,49032,10011584.16,7850861.62,2160722.54,21.5822,-4.61,-5.98,-0.31
2310,2023-10-01,2023,10,Q4,55174,11959877.22,9400662.27,2559214.94,21.3983,12.23,3.16,-1.88
