per_month,month_name,average_monthly_revenue,average_monthly_gross_profit,average_annual_revenue_share_pct,average_annual_gross_profit_share_pct
1,January,6690859.33,1406008.76,6.5,6.41
2,February,6682315.59,1429710.43,6.4,6.44
3,March,8728118.16,1844914.96,8.43,8.38
4,April,7398869.74,1589011.54,7.16,7.23
5,May,8054424.65,1711815.15,7.82,7.83
6,June,8534326.29,1785296.96,8.26,8.15
7,July,7804126.08,1638043.87,7.54,7.42
8,August,8353506.19,1751100.51,8.07,7.99
9,September,8705596.89,1835724.31,8.4,8.35
10,October,10021350.47,2129197.9,9.67,9.63
11,November,10417766.13,2251303.12,10.06,10.26
12,December,12097781.46,2616066.9,11.7,11.91
