customer_number,transaction_rows,total_revenue,gross_profit,gross_margin_pct,revenue_share_pct,cumulative_revenue_pct,cumulative_customer_pct,revenue_rank
CUSTOMER_3123,4028,8189595.78,1057286.88,12.9101,1.130499,1.130499,0.03096,1
CUSTOMER_3143,10079,7275125.35,1108627.12,15.2386,1.004264,2.134763,0.06192,2
CUSTOMER_3013,30948,6026325.46,1145558.48,19.0092,0.831879,2.966642,0.092879,3
CUSTOMER_1781,10527,4947874.76,1045255.35,21.1253,0.683009,3.649651,0.123839,4
CUSTOMER_3156,1982,4799967.06,674170.96,14.0453,0.662591,4.312242,0.154799,5
CUSTOMER_3055,3418,4698216.88,842268.0,17.9274,0.648546,4.960788,0.185759,6
CUSTOMER_0733,26047,3950658.78,773265.67,19.5731,0.545352,5.506141,0.216718,7
CUSTOMER_0465,8677,3877837.97,841133.16,21.6908,0.5353,6.041441,0.247678,8
CUSTOMER_1387,9624,3866893.93,746065.36,19.2937,0.533789,6.57523,0.278638,9
CUSTOMER_1202,13360,3704356.23,648857.4,17.5161,0.511352,7.086582,0.309598,10
CUSTOMER_0640,699,3695985.63,571194.94,15.4545,0.510197,7.596779,0.340557,11
CUSTOMER_0122,20609,3554142.65,789122.83,22.2029,0.490617,8.087396,0.371517,12
CUSTOMER_2314,13245,3515722.15,882715.31,25.1077,0.485313,8.572709,0.402477,13
CUSTOMER_1203,17935,3481881.69,746879.59,21.4505,0.480642,9.053351,0.433437,14
CUSTOMER_1099,767,3416962.7,534241.83,15.635,0.47168,9.525032,0.464396,15
CUSTOMER_2276,18197,3311630.42,680000.67,20.5337,0.45714,9.982172,0.495356,16
CUSTOMER_1201,15796,3275518.18,644967.54,19.6905,0.452155,10.434327,0.526316,17
CUSTOMER_0663,17265,3233103.71,640698.29,19.8168,0.4463,10.880627,0.557276,18
CUSTOMER_1568,17669,3216338.34,768906.01,23.9063,0.443986,11.324614,0.588235,19
CUSTOMER_3046,6405,3207302.36,449038.26,14.0005,0.442739,11.767352,0.619195,20
CUSTOMER_0787,8988,3005232.5,610761.23,20.3233,0.414845,12.182197,0.650155,21
