customer_class,customer_class_description,customers_2018,customers_2024,revenue_2018,revenue_2024,revenue_growth,revenue_growth_pct,gross_profit_2018,gross_profit_2024,gross_profit_growth,gross_profit_growth_pct,growth_contribution_pct,margin_2018_pct,margin_2024_pct
2,Independent Retail Accounts,864,974,38048584.68,60254924.87,22206340.19,58.36,7818087.34,13928265.29,6110177.95,78.15,43.04,20.55,23.12
5,Wholesale Trade Accounts,211,230,11362849.37,18583298.48,7220449.11,63.54,1956025.45,3648137.46,1692112.01,86.51,13.99,17.21,19.63
4,Commercial Service Accounts,250,222,5891826.21,9270111.71,3378285.49,57.34,1228356.82,1946319.92,717963.1,58.45,6.55,20.85,21.0
68,Regional Multi-Unit Retail Chain,0,5,0.0,3198853.38,3198853.38,,0.0,729451.95,729451.95,,6.2,,22.8
8,Regional Retail Chain – Tier 2,13,15,2723165.0,4907508.41,2184343.41,80.21,492342.82,1028870.66,536527.84,108.97,4.23,18.08,20.97
64,Family-Owned Retail Business,0,5,0.0,2013495.98,2013495.98,,0.0,416221.97,416221.97,,3.9,,20.67
54,Retail Cooperative Network,38,86,1610270.53,3400613.2,1790342.67,111.18,322821.01,863832.58,541011.57,167.59,3.47,20.05,25.4
26,Suburban Retail Chain,8,9,1467561.88,2863841.55,1396279.67,95.14,276640.78,672812.43,396171.65,143.21,2.71,18.85,23.49
65,Regional Specialty Retailer,0,5,0.0,1300723.78,1300723.78,,0.0,325040.58,325040.58,,2.52,,24.99
9,Regional Retail Chain – Tier 3,8,11,1477662.37,2609975.32,1132312.95,76.63,244267.77,583232.27,338964.5,138.77,2.19,16.53,22.35
29,Niche Specialty Retailer,3,4,502965.92,1443538.51,940572.59,187.01,71880.66,197256.29,125375.62,174.42,1.82,14.29,13.66
38,Cooperative Retail Affiliate,3,4,366603.03,1193557.22,826954.19,225.57,57086.63,203673.33,146586.7,256.78,1.6,15.57,17.06
33,Regional Specialty Market,10,12,295570.26,1012531.8,716961.55,242.57,63904.81,244139.15,180234.34,282.04,1.39,21.62,24.11
21,Discount Retail Chain,5,14,264893.62,948480.93,683587.31,258.06,56778.94,242893.34,186114.4,327.79,1.32,21.43,25.61
63,Destination Retail Location,0,8,0.0,643472.44,643472.44,,0.0,133258.91,133258.91,,1.25,,20.71
18,Multi-Location Retail Group – Premium Tier,22,33,864737.25,1490872.49,626135.23,72.41,172563.16,352001.92,179438.75,103.98,1.21,19.96,23.61
42,Independent Distribution Partner,9,9,388630.59,992805.97,604175.38,155.46,93440.79,245700.76,152259.97,162.95,1.17,24.04,24.75
61,Commercial Supply Vendor,0,1,0.0,581526.3,581526.3,,0.0,87738.31,87738.31,,1.13,,15.09
41,Village Retail Operator,0,13,0.0,535515.33,535515.33,,0.0,123863.27,123863.27,,1.04,,23.13
55,Large Regional Retail Chain,0,12,0.0,514690.39,514690.39,,0.0,123524.69,123524.69,,1.0,,24.0
27,Urban Independent Retailer,5,6,197658.32,703665.48,506007.16,256.0,33984.02,118842.21,84858.19,249.7,0.98,17.19,16.89
43,Event & Promotional Accounts,0,8,0.0,468403.45,468403.45,,0.0,101453.29,101453.29,,0.91,,21.66
56,National Retail Affiliate,0,8,0.0,306682.37,306682.37,,0.0,79211.15,79211.15,,0.59,,25.83
48,Specialty Beverage Retailer,0,12,0.0,285192.75,285192.75,,0.0,72794.24,72794.24,,0.55,,25.52
23,Value-Oriented Retail Chain,17,22,168063.55,449340.29,281276.74,167.36,41568.08,91097.22,49529.14,119.15,0.55,24.73,20.27
46,Regional Retail Affiliate,1,1,59768.1,327961.81,268193.71,448.72,14448.15,77192.39,62744.23,434.27,0.52,24.17,23.54
35,Regional Multi-Unit Operator,13,15,89673.98,309976.13,220302.15,245.67,13782.75,64808.24,51025.49,370.21,0.43,15.37,20.91
59,Import Marketplace Partner,0,1,0.0,211501.37,211501.37,,0.0,45406.4,45406.4,,0.41,,21.47
53,Wine & Spirits Retailer,0,4,0.0,186898.08,186898.08,,0.0,54457.91,54457.91,,0.36,,29.14
40,Suburban Independent Retailer,4,4,178180.02,350481.22,172301.2,96.7,31024.04,79562.25,48538.21,156.45,0.33,17.41,22.7
62,Convenience Retail Group,0,4,0.0,161958.9,161958.9,,0.0,44538.16,44538.16,,0.31,,27.5
19,Neighborhood Retail Group,1,11,447516.14,593363.26,145847.12,32.59,62660.22,82384.81,19724.59,31.48,0.28,14.0,13.88
57,National Retail Affiliate – Secondary,0,4,0.0,143140.25,143140.25,,0.0,33131.95,33131.95,,0.28,,23.15
45,Boutique Retail Operator,0,2,0.0,121962.5,121962.5,,0.0,28104.87,28104.87,,0.24,,23.04
30,International Retail Chain,2,2,450468.05,565024.11,114556.07,25.43,65613.77,93421.74,27807.97,42.38,0.22,14.57,16.53
50,Farm & Specialty Market,1,1,130582.59,201571.41,70988.82,54.36,17217.77,38118.52,20900.75,121.39,0.14,13.19,18.91
