customer_number,customer_class,customer_class_description,last_active_period,latest_period,months_since_last_active,churn_risk_bucket,baseline_revenue,revenue_at_risk
CUSTOMER_0167,2,Independent Retail Accounts,2404,2412,8.0,At Risk (7-12 months),312309.39,312309.39
CUSTOMER_2084,2,Independent Retail Accounts,2401,2412,11.0,At Risk (7-12 months),205995.1,205995.1
CUSTOMER_1999,2,Independent Retail Accounts,2404,2412,8.0,At Risk (7-12 months),178003.84,178003.84
CUSTOMER_0657,8,Regional Retail Chain – Tier 2,2404,2412,8.0,At Risk (7-12 months),140697.04,140697.04
CUSTOMER_0084,2,Independent Retail Accounts,2402,2412,10.0,At Risk (7-12 months),116104.7,116104.7
CUSTOMER_2085,2,Independent Retail Accounts,2401,2412,11.0,At Risk (7-12 months),88149.22,88149.22
CUSTOMER_1468,2,Independent Retail Accounts,2405,2412,7.0,At Risk (7-12 months),83047.12,83047.12
CUSTOMER_2518,5,Wholesale Trade Accounts,2405,2412,7.0,At Risk (7-12 months),63131.53,63131.53
CUSTOMER_1982,2,Independent Retail Accounts,2405,2412,7.0,At Risk (7-12 months),59008.97,59008.97
CUSTOMER_3099,5,Wholesale Trade Accounts,2401,2412,11.0,At Risk (7-12 months),56297.78,56297.78
CUSTOMER_1442,2,Independent Retail Accounts,2312,2412,12.0,At Risk (7-12 months),51528.53,51528.53
CUSTOMER_1036,2,Independent Retail Accounts,2402,2412,10.0,At Risk (7-12 months),45237.81,45237.81
CUSTOMER_2409,23,Value-Oriented Retail Chain,2403,2412,9.0,At Risk (7-12 months),43788.56,43788.56
CUSTOMER_0394,2,Independent Retail Accounts,2405,2412,7.0,At Risk (7-12 months),42920.7,42920.7
CUSTOMER_1414,5,Wholesale Trade Accounts,2405,2412,7.0,At Risk (7-12 months),40814.07,40814.07
CUSTOMER_3178,4,Commercial Service Accounts,2405,2412,7.0,At Risk (7-12 months),31876.1,31876.1
CUSTOMER_2123,2,Independent Retail Accounts,2405,2412,7.0,At Risk (7-12 months),31112.67,31112.67
CUSTOMER_0741,2,Independent Retail Accounts,2404,2412,8.0,At Risk (7-12 months),30814.99,30814.99
CUSTOMER_1187,54,Retail Cooperative Network,2401,2412,11.0,At Risk (7-12 months),30543.37,30543.37
CUSTOMER_1556,3,National Retail Chains,2401,2412,11.0,At Risk (7-12 months),28592.45,28592.45
